variant,tokenizer,model,remove_velocity,hard_quantization,dataset_a,dataset_b,fmd,valid,real_pair,source_a,source_b,real_files_a,real_files_b,bootstrap_mean,bootstrap_std,bootstrap_ci_lower,bootstrap_ci_upper
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,midicaps,jazz,0.047170572096844686,True,True,real,real,120,120,0.10988796318310193,0.006535424829504377,0.0982745677907809,0.12432185179614069
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,midicaps,rock,0.05997923468722678,True,True,real,real,120,120,0.11427494291462374,0.008333608425739754,0.1013569200842528,0.1286964774316112
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,midicaps,classical,0.07548837910888162,True,True,real,real,120,120,0.12205140956191225,0.009565507648769875,0.10797493260383431,0.14388241782933953
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,midicaps,pop,0.06565892445993265,True,True,real,real,120,120,0.11688758078920988,0.007213343324997247,0.10584562417079754,0.13117598431662444
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,midicaps,rap,0.06866244974930957,True,True,real,real,120,120,0.12138958834860707,0.008382926873698238,0.10967198336160104,0.1388672769750547
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,pop909,jazz,0.05580643905176865,True,True,real,real,120,120,0.11248762907127778,0.006654638955486302,0.1017649255851898,0.12356832334144356
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,pop909,rock,0.058149408869333105,True,True,real,real,120,120,0.1124891432663152,0.006247049631971402,0.10302461080985195,0.12884212607462056
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,pop909,classical,0.053048889437743524,True,True,real,real,120,120,0.11122071603835368,0.005779701285451294,0.10177782105744988,0.12348661111287706
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,pop909,pop,0.04455458216067527,True,True,real,real,120,120,0.1068956758823902,0.006937090357642957,0.09678305277181663,0.12087989540871258
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,pop909,rap,0.07076293729000425,True,True,real,real,120,120,0.11919963127726314,0.00644800327959595,0.10730753634429978,0.13186975677463403
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,jazz,rock,0.056244860831251825,True,True,real,real,120,120,0.11082183582573549,0.005987418941491884,0.10110173852298299,0.12393204084680581
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,jazz,classical,0.06609049477630007,True,True,real,real,120,120,0.11635408271784402,0.005945549062150505,0.10677894521876152,0.12856896999739129
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,jazz,pop,0.0563667279767281,True,True,real,real,120,120,0.11091357385973977,0.004901808927628758,0.10269775077190431,0.1202045843587566
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,jazz,rap,0.06044962388404094,True,True,real,real,120,120,0.11390238746943364,0.005460784493292918,0.10240158272109533,0.12382428701664756
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,rock,classical,0.07529378808693113,True,True,real,real,120,120,0.12022272541256493,0.006350958238761199,0.11035768877553505,0.13333011320820162
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,rock,pop,0.06415415811399701,True,True,real,real,120,120,0.11480991890182572,0.006347378214647815,0.10404640228281424,0.12702438113172815
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,rock,rap,0.06560883427659536,True,True,real,real,120,120,0.11438390847584859,0.007711968168178461,0.10239023185781854,0.13055278528245357
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,classical,pop,0.04721460768015273,True,True,real,real,120,120,0.10793482562402826,0.0049268337986904925,0.0996828112974514,0.11638680458922646
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,classical,rap,0.07317790468411123,True,True,real,real,120,120,0.12131871967598981,0.005462316206118273,0.11368993509190227,0.13185751053683475
tok=REMI|model=CLaMP-1|vel=off|quant=off,REMI,CLaMP-1,True,False,pop,rap,0.06932880744119219,True,True,real,real,120,120,0.11775977006233433,0.005081036070601634,0.10981851243154443,0.12883738765528638
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,maestro,midicaps,0.07954200080506989,True,True,real,real,120,120,0.13412154307638907,0.010415152141072118,0.11818412297896991,0.16177532124656135
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,maestro,pop909,0.06097080340278214,True,True,real,real,120,120,0.12236320313562296,0.008543807512734791,0.10923592454112957,0.1380801166791389
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,maestro,jazz,0.07288751737414294,True,True,real,real,120,120,0.12916759917370074,0.009748135767952549,0.1168860176266467,0.1570682645149777
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,maestro,rock,0.0870409038400895,True,True,real,real,120,120,0.13634892378414037,0.008370721348855196,0.12386841809488006,0.15376053934352188
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,maestro,classical,0.050074113817882474,True,True,real,real,120,120,0.11522543338528682,0.008232591022471463,0.10430305116929289,0.13127214744467564
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,maestro,pop,0.05711850617770016,True,True,real,real,120,120,0.11887830381407487,0.009137222895568696,0.10659008007391217,0.1406265556719713
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,maestro,rap,0.08853722242281345,True,True,real,real,120,120,0.13646080009281017,0.00681336627584276,0.1255721563100124,0.15135255226143382
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,midicaps,pop909,0.06211073865203677,True,True,real,real,120,120,0.12337395176070953,0.011135562762963264,0.1110293824057309,0.15182516676317037
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,midicaps,jazz,0.049623833546441315,True,True,real,real,120,120,0.11805599496310246,0.008280195216484628,0.10534403594804764,0.1377984433441243
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,midicaps,rock,0.05967318475301311,True,True,real,real,120,120,0.11752318036409237,0.006900131248912711,0.10777617045314049,0.136210679158908
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,midicaps,classical,0.08581341878519759,True,True,real,real,120,120,0.13387417241486968,0.009855132264693655,0.11732513681940449,0.15610000526687345
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,midicaps,pop,0.06687983965312008,True,True,real,real,120,120,0.12391374968704252,0.01137441583242457,0.10934543894704309,0.15604745520120814
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,midicaps,rap,0.07176678959882807,True,True,real,real,120,120,0.12657419003037215,0.008125796197425005,0.11494354329102179,0.14395299342355558
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,pop909,jazz,0.05768672052150658,True,True,real,real,120,120,0.11958883313427049,0.006749422752464475,0.10758447041645937,0.13243349938475885
tok=REMI|model=CLaMP-1|vel=on|quant=on,REMI,CLaMP-1,False,True,pop909,rock,0.06040933368913888,True,True,real,real,120,120,0.11677379186930567,0.0063538969691464674,0.10529080131811915,0.12910486766871093
