variant,genre_a,genre_b,pair,dataset_a,dataset_b,fmd
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.07368316671370635
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.07368316671370635
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.3364043928851153
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.3364043928851153
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.43512767606530417
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.43512767606530417
tok=Octuple|model=CLaMP-1|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.15367045696738202
tok=Octuple|model=CLaMP-1|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.15367045696738202
tok=Octuple|model=CLaMP-1|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.15763086229620646
tok=Octuple|model=CLaMP-1|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.15763086229620646
tok=Octuple|model=CLaMP-2|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.6840559402171095
tok=Octuple|model=CLaMP-2|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.6840559402171095
tok=Octuple|model=CLaMP-2|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.7088764384500039
tok=Octuple|model=CLaMP-2|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.7088764384500039
tok=REMI|model=CLaMP-1|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.07529378808693113
tok=REMI|model=CLaMP-1|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.07529378808693113
tok=REMI|model=CLaMP-1|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.08940685236205434
tok=REMI|model=CLaMP-1|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.08940685236205434
tok=REMI|model=CLaMP-2|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.43997141910969706
tok=REMI|model=CLaMP-2|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.43997141910969706
tok=REMI|model=CLaMP-2|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.46138481796686415
tok=REMI|model=CLaMP-2|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.46138481796686415
tok=TSD|model=CLaMP-1|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.0892071728877636
tok=TSD|model=CLaMP-1|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.0892071728877636
tok=TSD|model=CLaMP-1|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.0873444259481992
tok=TSD|model=CLaMP-1|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.0873444259481992
tok=TSD|model=CLaMP-2|vel=off|quant=off,rock,classical,rock vs classical,rock,classical,0.6065787435524335
tok=TSD|model=CLaMP-2|vel=off|quant=on,rock,classical,rock vs classical,rock,classical,0.6065787435524335
tok=TSD|model=CLaMP-2|vel=on|quant=off,rock,classical,rock vs classical,rock,classical,0.5361931187675929
tok=TSD|model=CLaMP-2|vel=on|quant=on,rock,classical,rock vs classical,rock,classical,0.5361931187675929
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.06275031284338793
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.06275031284338793
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.06380341218879212
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.06380341218879212
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.20008273586693823
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.20008273586693823
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.2514374704295582
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.2514374704295582
tok=Octuple|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.13470619305976342
tok=Octuple|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.13470619305976342
tok=Octuple|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.13230412807038142
tok=Octuple|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.13230412807038142
tok=Octuple|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.5164338396483438
tok=Octuple|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.5164338396483438
tok=Octuple|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.5179800222377633
tok=Octuple|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.5179800222377633
tok=REMI|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.06415415811399701
tok=REMI|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.06415415811399701
tok=REMI|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.06624266655836303
tok=REMI|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.06624266655836303
tok=REMI|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.3197916081164726
tok=REMI|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.3197916081164726
tok=REMI|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.33267131028218017
tok=REMI|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.33267131028218017
tok=TSD|model=CLaMP-1|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.06609446678751871
tok=TSD|model=CLaMP-1|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.06609446678751871
tok=TSD|model=CLaMP-1|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.06457168028582691
tok=TSD|model=CLaMP-1|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.06457168028582691
tok=TSD|model=CLaMP-2|vel=off|quant=off,rock,pop,rock vs pop,rock,pop,0.451862234316804
tok=TSD|model=CLaMP-2|vel=off|quant=on,rock,pop,rock vs pop,rock,pop,0.451862234316804
tok=TSD|model=CLaMP-2|vel=on|quant=off,rock,pop,rock vs pop,rock,pop,0.3698874958681872
tok=TSD|model=CLaMP-2|vel=on|quant=on,rock,pop,rock vs pop,rock,pop,0.3698874958681872
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.09053813069490739
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.09053813069490739
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.09574715202415067
tok=MIDI-Like|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.09574715202415067
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.3057708188666976
tok=MIDI-Like|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.3057708188666976
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.3151255144052131
tok=MIDI-Like|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.3151255144052131
tok=Octuple|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.13634205528162446
tok=Octuple|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.13634205528162446
tok=Octuple|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.1338217259959679
tok=Octuple|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.1338217259959679
tok=Octuple|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.5624201583135916
tok=Octuple|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.5624201583135916
tok=Octuple|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.551160311676132
tok=Octuple|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.551160311676132
tok=REMI|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.06560883427659536
tok=REMI|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.06560883427659536
tok=REMI|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.06783280291894683
tok=REMI|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.06783280291894683
tok=REMI|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.29678703712195814
tok=REMI|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.29678703712195814
tok=REMI|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.3012762763441216
tok=REMI|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.3012762763441216
tok=TSD|model=CLaMP-1|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.058385543495002634
tok=TSD|model=CLaMP-1|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.058385543495002634
tok=TSD|model=CLaMP-1|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.05900515381780045
tok=TSD|model=CLaMP-1|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.05900515381780045
tok=TSD|model=CLaMP-2|vel=off|quant=off,rock,rap,rock vs rap,rock,rap,0.6923911853957345
tok=TSD|model=CLaMP-2|vel=off|quant=on,rock,rap,rock vs rap,rock,rap,0.6923911853957345
tok=TSD|model=CLaMP-2|vel=on|quant=off,rock,rap,rock vs rap,rock,rap,0.6606487874978167
tok=TSD|model=CLaMP-2|vel=on|quant=on,rock,rap,rock vs rap,rock,rap,0.6606487874978167
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=off,classical,pop,classical vs pop,classical,pop,0.05238849204981773
tok=MIDI-Like|model=CLaMP-1|vel=off|quant=on,classical,pop,classical vs pop,classical,pop,0.05238849204981773
