n_per_cell,total_rows,resample,factor,eta_sq,p_value,significant
3,864,5,preprocess,0.002115039783157448,0.6101768951172434,False
3,864,6,tokenizer,0.01983736425564429,0.0006303071578825543,True
3,864,6,model,0.7842716752802735,1.7661885590901362e-287,True
3,864,6,preprocess,0.0022187356573317627,0.5910102173387981,False
3,864,7,tokenizer,0.01967608487400149,0.0006740374802318467,True
3,864,7,model,0.7756562086194385,3.7025482685450886e-280,True
3,864,7,preprocess,0.002064507267480232,0.6196587896153789,False
3,864,8,tokenizer,0.019179947159414533,0.0008283129897431292,True
3,864,8,model,0.7818666696538439,2.088497277116688e-285,True
3,864,8,preprocess,0.002321686985497332,0.5723789745853314,False
3,864,9,tokenizer,0.01941446471847792,0.0007514573844596426,True
3,864,9,model,0.7842114839874309,1.9915690218113664e-287,True
3,864,9,preprocess,0.0020548714051593048,0.6214771762651219,False
3,864,10,tokenizer,0.019465143926808003,0.0007358015148705315,True
3,864,10,model,0.7752560092116063,7.974841280472496e-280,True
3,864,10,preprocess,0.002053963611342454,0.6216486551820823,False
3,864,11,tokenizer,0.01952272322315471,0.000718406106497549,True
3,864,11,model,0.7848358353577051,5.720841565330474e-288,True
3,864,11,preprocess,0.002526368250683158,0.5365543514538313,False
3,864,12,tokenizer,0.01899761547825752,0.0008934053488781743,True
3,864,12,model,0.7757944944010231,2.839360272061503e-280,True
3,864,12,preprocess,0.0019415996685186695,0.643093956818389,False
3,864,13,tokenizer,0.01976377459441669,0.0006499003691190883,True
3,864,13,model,0.7712668534616559,1.553028464634981e-276,True
3,864,13,preprocess,0.0031805817325277126,0.43326256017301323,False
3,864,14,tokenizer,0.019484928905706925,0.0007297776514073093,True
3,864,14,model,0.7686433434096096,2.1057208520012358e-274,True
3,864,14,preprocess,0.0021446955318707495,0.6046551489077694,False
3,864,15,tokenizer,0.020150373978603645,0.0005533066727163652,True
3,864,15,model,0.7822609541787504,9.584816158664443e-286,True
3,864,15,preprocess,0.0025631240310692413,0.5302959756069829,False
3,864,16,tokenizer,0.01904520662158281,0.0008759419704604245,True
3,864,16,model,0.7797612940761981,1.3053135562428901e-283,True
3,864,16,preprocess,0.002276456409338048,0.5805148475793633,False
