cov_method,tokenizer,model,remove_velocity,hard_quantization,pair,repeat,fmd,nfmd_trace
empirical,Octuple,MusicBERT,False,False,jazz_vs_country,4,7.2083031209958435,0.1576557623585308
empirical,Octuple,MusicBERT,False,False,electronic_vs_country,0,10.662940502775143,0.2181647763947672
empirical,Octuple,MusicBERT,False,False,electronic_vs_country,1,9.628191977613334,0.19614293923278625
empirical,Octuple,MusicBERT,False,False,electronic_vs_country,2,10.2028652759154,0.21204564150534275
empirical,Octuple,MusicBERT,False,False,electronic_vs_country,3,9.63346824470834,0.19337455102173554
empirical,Octuple,MusicBERT,False,False,electronic_vs_country,4,10.121843839644512,0.20697106073992064
empirical,Octuple,MusicBERT,True,True,rock_vs_jazz,0,7.173881573021021,0.13075190344257767
empirical,Octuple,MusicBERT,True,True,rock_vs_jazz,1,7.1262786052973155,0.12550625903181573
empirical,Octuple,MusicBERT,True,True,rock_vs_jazz,2,7.187113250788798,0.12987209829240984
empirical,Octuple,MusicBERT,True,True,rock_vs_jazz,3,7.1330772304226215,0.1274486455267541
empirical,Octuple,MusicBERT,True,True,rock_vs_jazz,4,7.46432191514797,0.1362960687681384
empirical,Octuple,MusicBERT,True,True,rock_vs_electronic,0,8.990593048849696,0.15998014156309937
empirical,Octuple,MusicBERT,True,True,rock_vs_electronic,1,8.150225248163395,0.14296950464908448
empirical,Octuple,MusicBERT,True,True,rock_vs_electronic,2,8.077881803491486,0.13926994387340302
empirical,Octuple,MusicBERT,True,True,rock_vs_electronic,3,8.614680673169012,0.149507409783235
empirical,Octuple,MusicBERT,True,True,rock_vs_electronic,4,8.23836143566507,0.14436032721556577
empirical,Octuple,MusicBERT,True,True,rock_vs_country,0,6.551030031128164,0.1263485828922685
empirical,Octuple,MusicBERT,True,True,rock_vs_country,1,6.524043915175895,0.12568306227653728
empirical,Octuple,MusicBERT,True,True,rock_vs_country,2,6.486833168668404,0.1226137954488668
empirical,Octuple,MusicBERT,True,True,rock_vs_country,3,6.089428230219326,0.11920411061025983
empirical,Octuple,MusicBERT,True,True,rock_vs_country,4,6.796231592614745,0.13839710833215405
empirical,Octuple,MusicBERT,True,True,jazz_vs_electronic,0,11.802245908424077,0.21148256062204984
empirical,Octuple,MusicBERT,True,True,jazz_vs_electronic,1,11.883359624481798,0.21347644014139658
empirical,Octuple,MusicBERT,True,True,jazz_vs_electronic,2,11.225411167041145,0.19696169586676018
empirical,Octuple,MusicBERT,True,True,jazz_vs_electronic,3,11.305144999308702,0.19882242021945665
empirical,Octuple,MusicBERT,True,True,jazz_vs_electronic,4,11.72869179708654,0.2133226807080402
empirical,Octuple,MusicBERT,True,True,jazz_vs_country,0,7.881782394593529,0.15368689342318573
empirical,Octuple,MusicBERT,True,True,jazz_vs_country,1,6.510687474897999,0.12754513757361233
empirical,Octuple,MusicBERT,True,True,jazz_vs_country,2,6.919581189729833,0.13654276826193992
empirical,Octuple,MusicBERT,True,True,jazz_vs_country,3,6.986207780672885,0.13628323394600345
empirical,Octuple,MusicBERT,True,True,jazz_vs_country,4,6.670489084687766,0.13159061037876996
empirical,Octuple,MusicBERT,True,True,electronic_vs_country,0,10.495773770574246,0.19719262566349732
empirical,Octuple,MusicBERT,True,True,electronic_vs_country,1,9.797076769482302,0.1856424608043395
empirical,Octuple,MusicBERT,True,True,electronic_vs_country,2,10.527702515448581,0.194470493770468
empirical,Octuple,MusicBERT,True,True,electronic_vs_country,3,10.345827377622669,0.19920715048558482
empirical,Octuple,MusicBERT,True,True,electronic_vs_country,4,10.047780341976178,0.18837160677047154
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_jazz,0,0.08701609161610158,0.09774313923607296
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_jazz,1,0.08466429198885772,0.0953422347574663
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_jazz,2,0.096333731242492,0.11477061257114876
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_jazz,3,0.08349667058565935,0.09420098668001187
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_jazz,4,0.08956590426700772,0.10159479884991275
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_electronic,0,0.0949204785816189,0.10009012326832491
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_electronic,1,0.10261348774248535,0.106397241258224
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_electronic,2,0.10387777600234172,0.10970639512893096
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_electronic,3,0.09757261636955028,0.10350535175018154
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_electronic,4,0.1021402845641648,0.11200457843707676
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_country,0,0.1270965674379334,0.1379619932652104
ledoit_wolf,REMI,CLaMP-2,False,False,rock_vs_country,1,0.12301522715957602,0.13577763889920003
