dataset,configuration,perturbation,file,cosine_shift,corpus_scale,normalized_shift
pop909,MusicBERT-REMI,no_velocity,pop909_0070.mid,0.0037053823471069336,0.003873884677886963,0.9565030080162479
pop909,MusicBERT-REMI,no_velocity,pop909_0072.mid,0.005689382553100586,0.003873884677886963,1.4686504700506209
pop909,MusicBERT-REMI,no_velocity,pop909_0073.mid,0.004937529563903809,0.003873884677886963,1.2745680304032743
pop909,MusicBERT-REMI,no_velocity,pop909_0074.mid,0.005642354488372803,0.003873884677886963,1.4565107011524319
pop909,MusicBERT-REMI,no_velocity,pop909_0081.mid,0.006910979747772217,0.003873884677886963,1.7839921222285477
pop909,MusicBERT-REMI,no_velocity,pop909_0082.mid,0.005281269550323486,0.003873884677886963,1.363300663148339
pop909,MusicBERT-REMI,no_velocity,pop909_0083.mid,0.004946887493133545,0.003873884677886963,1.2769836751650179
pop909,MusicBERT-REMI,no_velocity,pop909_0085.mid,0.007519245147705078,0.003873884677886963,1.94100903174188
pop909,MusicBERT-REMI,no_velocity,pop909_0086.mid,0.005308866500854492,0.003873884677886963,1.3704245072546275
pop909,MusicBERT-REMI,no_velocity,pop909_0087.mid,0.007567644119262695,0.003873884677886963,1.9535026849045283
pop909,MusicBERT-REMI,no_velocity,pop909_0088.mid,0.006382644176483154,0.003873884677886963,1.6476082039604265
pop909,MusicBERT-REMI,no_velocity,pop909_0091.mid,0.004629015922546387,0.003873884677886963,1.1949286846275753
pop909,MusicBERT-REMI,no_velocity,pop909_0093.mid,0.007227540016174316,0.003873884677886963,1.8657086147738988
pop909,MusicBERT-REMI,no_velocity,pop909_0094.mid,0.00776904821395874,0.003873884677886963,2.005492899235302
pop909,MusicBERT-REMI,no_velocity,pop909_0095.mid,0.006596386432647705,0.003873884677886963,1.7027833766713338
pop909,MusicBERT-REMI,no_velocity,pop909_0096.mid,0.005701720714569092,0.003873884677886963,1.471835428430754
pop909,MusicBERT-REMI,no_velocity,pop909_0098.mid,0.0077533721923828125,0.003873884677886963,2.0014463096025725
pop909,MusicBERT-REMI,no_velocity,pop909_0099.mid,0.006074309349060059,0.003873884677886963,1.568015017001831
pop909,MusicBERT-REMI,no_velocity,pop909_01.mid,0.012164473533630371,0.003873884677886963,3.140122782453495
pop909,MusicBERT-REMI,no_velocity,pop909_0100.mid,0.005516350269317627,0.003873884677886963,1.4239841213669164
pop909,MusicBERT-REMI,no_velocity,pop909_0101.mid,0.007932424545288086,0.003873884677886963,2.047666671795424
pop909,MusicBERT-REMI,no_velocity,pop909_0103.mid,0.006848394870758057,0.003873884677886963,1.7678365362423645
pop909,MusicBERT-REMI,no_velocity,pop909_0104.mid,0.0061779022216796875,0.003873884677886963,1.594756358377056
pop909,MusicBERT-REMI,no_velocity,pop909_0105.mid,0.005483031272888184,0.003873884677886963,1.41538319511332
pop909,MusicBERT-REMI,no_velocity,pop909_0108.mid,0.005699455738067627,0.003873884677886963,1.4712507500807779
pop909,MusicBERT-REMI,no_velocity,pop909_0111.mid,0.006623387336730957,0.003873884677886963,1.7097533580539443
pop909,MusicBERT-REMI,no_velocity,pop909_0112.mid,0.0037925243377685547,0.003873884677886963,0.978997738217962
pop909,MusicBERT-REMI,no_velocity,pop909_0113.mid,0.006335318088531494,0.003873884677886963,1.6353915037003985
pop909,MusicBERT-REMI,no_velocity,pop909_0117.mid,0.005524992942810059,0.003873884677886963,1.4262151308602464
pop909,MusicBERT-REMI,no_velocity,pop909_0118.mid,0.0044672489166259766,0.003873884677886963,1.1531703414213839
pop909,MusicBERT-REMI,no_velocity,pop909_0120.mid,0.007400631904602051,0.003873884677886963,1.910390349729971
pop909,MusicBERT-REMI,no_velocity,pop909_0121.mid,0.00658869743347168,0.003873884677886963,1.7007985475358884
pop909,MusicBERT-REMI,no_velocity,pop909_0122.mid,0.004412353038787842,0.003873884677886963,1.138999584570646
pop909,MusicBERT-REMI,no_velocity,pop909_0123.mid,0.006910443305969238,0.003873884677886963,1.7838536457772376
pop909,MusicBERT-REMI,no_velocity,pop909_0128.mid,0.006520271301269531,0.003873884677886963,1.6831351068576617
pop909,MusicBERT-REMI,no_velocity,pop909_0129.mid,0.005975246429443359,0.003873884677886963,1.5424430323265583
pop909,MusicBERT-REMI,no_velocity,pop909_0130.mid,0.005123317241668701,0.003873884677886963,1.3225270413736865
pop909,MusicBERT-REMI,no_velocity,pop909_0131.mid,0.0056923627853393555,0.003873884677886963,1.4694197836690106
pop909,MusicBERT-REMI,no_velocity,pop909_0137.mid,0.00627446174621582,0.003873884677886963,1.6196821196128814
pop909,MusicBERT-REMI,no_velocity,pop909_0139.mid,0.005624592304229736,0.003873884677886963,1.4519255919868292
pop909,MusicBERT-REMI,no_velocity,pop909_0142.mid,0.007080197334289551,0.003873884677886963,1.8276737494807134
pop909,MusicBERT-REMI,no_velocity,pop909_0143.mid,0.0067972540855407715,0.003873884677886963,1.7546351145507977
pop909,MusicBERT-REMI,no_velocity,pop909_0145.mid,0.00676804780960083,0.003873884677886963,1.747095841090579
pop909,MusicBERT-REMI,no_velocity,pop909_02.mid,0.01238393783569336,0.003873884677886963,3.1967750373117103
pop909,MusicBERT-REMI,no_velocity,pop909_05.mid,0.011939764022827148,0.003873884677886963,3.0821165356269136
pop909,MusicBERT-REMI,no_velocity,pop909_08.mid,0.013325333595275879,0.003873884677886963,3.4397858230886404
pop909,MusicBERT-REMI,quantized_time,pop909_0004.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0006.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0007.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0009.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0010.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0011.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0016.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0017.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0018.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0019.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0020.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0024.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0027.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0031.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0034.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0035.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0036.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0042.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0044.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0046.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0047.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0048.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0049.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0050.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0051.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0053.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0055.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0058.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0060.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0061.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0062.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0066.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0067.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0069.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0070.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0072.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0073.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0074.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0081.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0082.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0083.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0085.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0086.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0087.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0088.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0091.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0093.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0094.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0095.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0096.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0098.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0099.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_01.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0100.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0101.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0103.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0104.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0105.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0108.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0111.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0112.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0113.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0117.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0118.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0120.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0121.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0122.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0123.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0128.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0129.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0130.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0131.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0137.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0139.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0142.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_0143.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_0145.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_02.mid,5.960464477539063e-08,0.003873884677886963,1.5386272367793455e-05
pop909,MusicBERT-REMI,quantized_time,pop909_05.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,quantized_time,pop909_08.mid,-1.1920928955078125e-07,0.003873884677886963,-3.077254473558691e-05
pop909,MusicBERT-REMI,constant_tempo,pop909_0004.mid,1.5497207641601562e-05,0.003873884677886963,0.004000430815626298
pop909,MusicBERT-REMI,constant_tempo,pop909_0006.mid,1.1265277862548828e-05,0.003873884677886963,0.0029080054775129627
pop909,MusicBERT-REMI,constant_tempo,pop909_0007.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,constant_tempo,pop909_0009.mid,0.0,0.003873884677886963,0.0
pop909,MusicBERT-REMI,constant_tempo,pop909_0010.mid,1.3589859008789062e-05,0.003873884677886963,0.0035080700998569078
pop909,MusicBERT-REMI,constant_tempo,pop909_0011.mid,1.3113021850585938e-05,0.003873884677886963,0.00338497992091456
pop909,MusicBERT-REMI,constant_tempo,pop909_0016.mid,1.1920928955078125e-07,0.003873884677886963,3.077254473558691e-05
